,,,
,,,
No.,URAIAN PEKERJAAN,LOKASI,STATUS
,,,
,Sub Kegiatan Penggantian Jembatan,,
1,Penggantian Jembatan Kali Bodas Ruas Jalan Karangkobar - Suwidak,Wanayasa,Berkontrak
2,Penggantian Jembatan Kali Royom Ruas Jalan Pandanarum-Sinduaji,Pandanarum,Berkontrak
3,Penggantian Jembatan Kali Ireng Ruas Jalan Karangkobar - Batur,Pejawaran,Pending
4,Penggantian Jembatan Kali Bojong Ruas Jalan Kalilunjar - Karekan,Pagentan,Pending
5,Penggantian Jembatan Kali Lebak Menak I Ruas Jalan Petir - Krinjing,Purwanegara,Berkontrak
,,,
,,,
,,,
,Sub Kegiatan Rekonstruksi Jalan,,
1,Peningkatan Jalan Kubang - Susukan,Wanayasa,Berkontrak
2,Peningkatan Jalan Ruas Jalan Aribaya - Sokaraja,Pagentan,Berkontrak
3,Peningkatan Jalan Ruas Jalan Babadan - Semangkung,Pejawaran,Berkontrak
4,Peningkatan Jalan Ruas Jalan Batur - Penusupan,Batur,Berkontrak
5,Peningkatan Jalan Ruas Jalan Bendawuluh - Mlaya,Banjarmangu,Berkontrak
6,Peningkatan Jalan Ruas Jalan Bulukuning - Karekan,Pejawaran,Berkontrak
7,Peningkatan Jalan Ruas Jalan Bulukuning - Kubang,Wanayasa,Berkontrak
8,Peningkatan Jalan Ruas Jalan Cawakan - Karanggondang,Karangkobar,Berkontrak
9,Peningkatan Jalan Ruas Jalan Clapar - Nagasari,Pagentan,Berkontrak
10,Peningkatan Jalan Ruas Jalan Duren - Kebondalem,Pagedongan,Berkontrak
11,Peningkatan Jalan Ruas Jalan Grogol - Biting,Pejawaran,Berkontrak
12,Peningkatan Jalan Ruas Jalan Jatilawang - Kalideres,Wanayasa,SPPBJ
13,Peningkatan Jalan Ruas Jalan Kalibombong - Gardu,Kalibening,Berkontrak
14,Peningkatan Jalan Ruas Jalan Kalilunjar - Karekan,Pejawaran,Berkontrak
15,Peningkatan Jalan Ruas Jalan Karanggondang-Sembawa,Karangkobar,Berkontrak
16,Peningkatan Jalan Ruas Jalan Karangkobar - Binangun,Karangkobar,Berkontrak
17,Peningkatan Jalan Ruas Jalan Kebondalem - Silangit,Bawang,Berkontrak
18,Peningkatan Jalan Ruas Jalan Kertosari - Rawapakis,Kalibening,Berkontrak
19,Peningkatan Jalan Ruas Jalan Lawen - Pingit Lor,Pandanarum,Berkontrak
20,Peningkatan Jalan Ruas Jalan Legoksayem - Penanggungan,Wanayasa,Berkontrak
